RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544861256618	 	3.0.1
USER	XhinLiang random api	1	START	1544861258262	1544861258262
USER	XhinLiang random api	2	START	1544861258356	1544861258356
USER	XhinLiang random api	3	START	1544861258405	1544861258405
USER	XhinLiang random api	4	START	1544861258455	1544861258455
USER	XhinLiang random api	5	START	1544861258505	1544861258505
USER	XhinLiang random api	6	START	1544861258555	1544861258555
USER	XhinLiang random api	7	START	1544861258615	1544861258615
USER	XhinLiang random api	8	START	1544861258665	1544861258665
REQUEST	4		random	1544861258456	1544861258668	OK	 
REQUEST	8		random	1544861258666	1544861258702	OK	 
REQUEST	6		random	1544861258556	1544861258665	OK	 
REQUEST	2		random	1544861258357	1544861258665	OK	 
REQUEST	1		random	1544861258295	1544861258657	OK	 
REQUEST	7		random	1544861258616	1544861258685	OK	 
REQUEST	3		random	1544861258407	1544861258665	OK	 
REQUEST	5		random	1544861258506	1544861258668	OK	 
USER	XhinLiang random api	3	END	1544861258405	1544861258712
USER	XhinLiang random api	8	END	1544861258665	1544861258714
USER	XhinLiang random api	9	START	1544861258715	1544861258715
USER	XhinLiang random api	7	END	1544861258615	1544861258715
USER	XhinLiang random api	1	END	1544861258262	1544861258716
USER	XhinLiang random api	6	END	1544861258555	1544861258716
USER	XhinLiang random api	4	END	1544861258455	1544861258717
USER	XhinLiang random api	5	END	1544861258505	1544861258718
USER	XhinLiang random api	2	END	1544861258356	1544861258721
REQUEST	9		random	1544861258715	1544861258750	OK	 
USER	XhinLiang random api	9	END	1544861258715	1544861258753
USER	XhinLiang random api	10	START	1544861258765	1544861258765
REQUEST	10		random	1544861258766	1544861258797	OK	 
USER	XhinLiang random api	10	END	1544861258765	1544861258799
USER	XhinLiang random api	11	START	1544861258815	1544861258815
REQUEST	11		random	1544861258816	1544861258846	OK	 
USER	XhinLiang random api	11	END	1544861258815	1544861258847
USER	XhinLiang random api	12	START	1544861258866	1544861258866
REQUEST	12		random	1544861258866	1544861258900	OK	 
USER	XhinLiang random api	12	END	1544861258866	1544861258902
USER	XhinLiang random api	13	START	1544861258915	1544861258915
REQUEST	13		random	1544861258916	1544861258950	OK	 
USER	XhinLiang random api	13	END	1544861258915	1544861258952
USER	XhinLiang random api	14	START	1544861258965	1544861258965
USER	XhinLiang random api	15	START	1544861259015	1544861259015
REQUEST	14		random	1544861258965	1544861259027	OK	 
USER	XhinLiang random api	14	END	1544861258965	1544861259029
REQUEST	15		random	1544861259016	1544861259051	OK	 
USER	XhinLiang random api	15	END	1544861259015	1544861259053
USER	XhinLiang random api	16	START	1544861259065	1544861259065
REQUEST	16		random	1544861259066	1544861259099	OK	 
USER	XhinLiang random api	16	END	1544861259065	1544861259101
USER	XhinLiang random api	17	START	1544861259115	1544861259115
REQUEST	17		random	1544861259116	1544861259147	OK	 
USER	XhinLiang random api	17	END	1544861259115	1544861259148
USER	XhinLiang random api	18	START	1544861259165	1544861259165
REQUEST	18		random	1544861259166	1544861259200	OK	 
USER	XhinLiang random api	18	END	1544861259165	1544861259202
USER	XhinLiang random api	19	START	1544861259215	1544861259215
REQUEST	19		random	1544861259216	1544861259251	OK	 
USER	XhinLiang random api	19	END	1544861259215	1544861259253
USER	XhinLiang random api	20	START	1544861259265	1544861259265
REQUEST	20		random	1544861259266	1544861259299	OK	 
USER	XhinLiang random api	20	END	1544861259265	1544861259301
