RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544860433458	 	3.0.1
USER	XhinLiang random api	1	START	1544860434995	1544860434995
USER	XhinLiang random api	2	START	1544860435136	1544860435136
REQUEST	1		login	1544860435028	1544860435130	OK	 
REQUEST	2		login	1544860435137	1544860435156	OK	 
USER	XhinLiang random api	2	END	1544860435136	1544860435159
USER	XhinLiang random api	1	END	1544860434995	1544860435161
USER	XhinLiang random api	3	START	1544860435236	1544860435236
REQUEST	3		login	1544860435237	1544860435248	OK	 
USER	XhinLiang random api	3	END	1544860435236	1544860435249
USER	XhinLiang random api	4	START	1544860435335	1544860435335
REQUEST	4		login	1544860435337	1544860435347	OK	 
USER	XhinLiang random api	4	END	1544860435335	1544860435348
USER	XhinLiang random api	5	START	1544860435436	1544860435436
REQUEST	5		login	1544860435437	1544860435450	OK	 
USER	XhinLiang random api	5	END	1544860435436	1544860435451
USER	XhinLiang random api	6	START	1544860435535	1544860435535
REQUEST	6		login	1544860435536	1544860435546	OK	 
USER	XhinLiang random api	6	END	1544860435535	1544860435547
USER	XhinLiang random api	7	START	1544860435635	1544860435635
REQUEST	7		login	1544860435636	1544860435650	OK	 
USER	XhinLiang random api	7	END	1544860435635	1544860435651
USER	XhinLiang random api	8	START	1544860435735	1544860435735
REQUEST	8		login	1544860435737	1544860435758	OK	 
USER	XhinLiang random api	8	END	1544860435735	1544860435760
USER	XhinLiang random api	9	START	1544860435835	1544860435835
REQUEST	9		login	1544860435836	1544860435847	OK	 
USER	XhinLiang random api	9	END	1544860435835	1544860435849
USER	XhinLiang random api	10	START	1544860435935	1544860435935
REQUEST	10		login	1544860435936	1544860435950	OK	 
USER	XhinLiang random api	10	END	1544860435935	1544860435953
USER	XhinLiang random api	11	START	1544860436035	1544860436035
REQUEST	11		login	1544860436037	1544860436047	OK	 
USER	XhinLiang random api	11	END	1544860436035	1544860436048
USER	XhinLiang random api	12	START	1544860436135	1544860436135
REQUEST	12		login	1544860436137	1544860436148	OK	 
USER	XhinLiang random api	12	END	1544860436135	1544860436150
USER	XhinLiang random api	13	START	1544860436236	1544860436236
REQUEST	13		login	1544860436237	1544860436249	OK	 
USER	XhinLiang random api	13	END	1544860436236	1544860436251
USER	XhinLiang random api	14	START	1544860436335	1544860436335
REQUEST	14		login	1544860436337	1544860436346	OK	 
USER	XhinLiang random api	14	END	1544860436335	1544860436348
USER	XhinLiang random api	15	START	1544860436435	1544860436435
REQUEST	15		login	1544860436436	1544860436450	OK	 
USER	XhinLiang random api	15	END	1544860436435	1544860436452
USER	XhinLiang random api	16	START	1544860436535	1544860436535
REQUEST	16		login	1544860436537	1544860436548	OK	 
USER	XhinLiang random api	16	END	1544860436535	1544860436550
USER	XhinLiang random api	17	START	1544860436635	1544860436635
REQUEST	17		login	1544860436637	1544860436649	OK	 
USER	XhinLiang random api	17	END	1544860436635	1544860436650
USER	XhinLiang random api	18	START	1544860436735	1544860436735
REQUEST	18		login	1544860436737	1544860436756	OK	 
USER	XhinLiang random api	18	END	1544860436735	1544860436757
USER	XhinLiang random api	19	START	1544860436836	1544860436836
REQUEST	19		login	1544860436837	1544860436860	OK	 
USER	XhinLiang random api	19	END	1544860436836	1544860436861
USER	XhinLiang random api	20	START	1544860436935	1544860436935
REQUEST	20		login	1544860436936	1544860436949	OK	 
USER	XhinLiang random api	20	END	1544860436935	1544860436950
USER	XhinLiang random api	21	START	1544860437036	1544860437036
REQUEST	21		login	1544860437037	1544860437082	OK	 
USER	XhinLiang random api	21	END	1544860437036	1544860437084
USER	XhinLiang random api	22	START	1544860437096	1544860437096
REQUEST	22		login	1544860437097	1544860437108	OK	 
USER	XhinLiang random api	22	END	1544860437096	1544860437109
USER	XhinLiang random api	23	START	1544860437195	1544860437195
REQUEST	23		login	1544860437197	1544860437207	OK	 
USER	XhinLiang random api	23	END	1544860437195	1544860437208
USER	XhinLiang random api	24	START	1544860437295	1544860437295
REQUEST	24		login	1544860437296	1544860437324	OK	 
USER	XhinLiang random api	24	END	1544860437295	1544860437326
USER	XhinLiang random api	25	START	1544860437396	1544860437396
REQUEST	25		login	1544860437397	1544860437409	OK	 
USER	XhinLiang random api	25	END	1544860437396	1544860437411
USER	XhinLiang random api	26	START	1544860437496	1544860437496
REQUEST	26		login	1544860437497	1544860437510	OK	 
USER	XhinLiang random api	26	END	1544860437496	1544860437511
USER	XhinLiang random api	27	START	1544860437595	1544860437595
REQUEST	27		login	1544860437597	1544860437607	OK	 
USER	XhinLiang random api	27	END	1544860437595	1544860437609
USER	XhinLiang random api	28	START	1544860437695	1544860437695
