RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544858539508	 	3.0.1
USER	XhinLiang random api	1	START	1544858541153	1544858541153
USER	XhinLiang random api	2	START	1544858541680	1544858541680
USER	XhinLiang random api	3	START	1544858542190	1544858542190
REQUEST	2		random	1544858541681	1544858542643	OK	 
REQUEST	3		random	1544858542191	1544858542641	OK	 
REQUEST	1		random	1544858541182	1544858542618	OK	 
USER	XhinLiang random api	4	START	1544858542691	1544858542691
USER	XhinLiang random api	3	END	1544858542190	1544858542695
USER	XhinLiang random api	1	END	1544858541153	1544858542695
USER	XhinLiang random api	2	END	1544858541680	1544858542698
REQUEST	4		random	1544858542692	1544858542747	OK	 
USER	XhinLiang random api	4	END	1544858542691	1544858542750
USER	XhinLiang random api	5	START	1544858543191	1544858543191
REQUEST	5		random	1544858543192	1544858543237	OK	 
USER	XhinLiang random api	5	END	1544858543191	1544858543239
USER	XhinLiang random api	6	START	1544858543650	1544858543650
REQUEST	6		random	1544858543652	1544858543694	OK	 
USER	XhinLiang random api	6	END	1544858543650	1544858543697
USER	XhinLiang random api	7	START	1544858544151	1544858544151
REQUEST	7		random	1544858544153	1544858544201	OK	 
USER	XhinLiang random api	7	END	1544858544151	1544858544204
USER	XhinLiang random api	8	START	1544858544650	1544858544650
REQUEST	8		random	1544858544651	1544858544698	OK	 
USER	XhinLiang random api	8	END	1544858544650	1544858544701
USER	XhinLiang random api	9	START	1544858545151	1544858545151
REQUEST	9		random	1544858545152	1544858545234	OK	 
USER	XhinLiang random api	9	END	1544858545151	1544858545238
USER	XhinLiang random api	10	START	1544858545650	1544858545650
REQUEST	10		random	1544858545652	1544858545696	OK	 
USER	XhinLiang random api	10	END	1544858545650	1544858545699
USER	XhinLiang random api	11	START	1544858546151	1544858546151
REQUEST	11		random	1544858546152	1544858546191	OK	 
USER	XhinLiang random api	11	END	1544858546151	1544858546193
USER	XhinLiang random api	12	START	1544858546651	1544858546651
REQUEST	12		random	1544858546652	1544858546717	OK	 
USER	XhinLiang random api	12	END	1544858546651	1544858546719
USER	XhinLiang random api	13	START	1544858547150	1544858547150
REQUEST	13		random	1544858547152	1544858547190	OK	 
USER	XhinLiang random api	13	END	1544858547150	1544858547192
USER	XhinLiang random api	14	START	1544858547640	1544858547640
REQUEST	14		random	1544858547642	1544858547696	OK	 
USER	XhinLiang random api	14	END	1544858547640	1544858547698
USER	XhinLiang random api	15	START	1544858548141	1544858548141
REQUEST	15		random	1544858548143	1544858548181	OK	 
USER	XhinLiang random api	15	END	1544858548141	1544858548183
USER	XhinLiang random api	16	START	1544858548650	1544858548650
REQUEST	16		random	1544858548652	1544858548691	OK	 
USER	XhinLiang random api	16	END	1544858548650	1544858548693
USER	XhinLiang random api	17	START	1544858549151	1544858549151
REQUEST	17		random	1544858549152	1544858549187	OK	 
USER	XhinLiang random api	17	END	1544858549151	1544858549189
USER	XhinLiang random api	18	START	1544858549650	1544858549650
REQUEST	18		random	1544858549651	1544858549688	OK	 
USER	XhinLiang random api	18	END	1544858549650	1544858549691
USER	XhinLiang random api	19	START	1544858550151	1544858550151
REQUEST	19		random	1544858550152	1544858550190	OK	 
USER	XhinLiang random api	19	END	1544858550151	1544858550192
USER	XhinLiang random api	20	START	1544858550650	1544858550650
REQUEST	20		random	1544858550652	1544858550691	OK	 
USER	XhinLiang random api	20	END	1544858550650	1544858550693
USER	XhinLiang random api	21	START	1544858551151	1544858551151
REQUEST	21		random	1544858551152	1544858551192	OK	 
USER	XhinLiang random api	21	END	1544858551151	1544858551194
USER	XhinLiang random api	22	START	1544858551651	1544858551651
REQUEST	22		random	1544858551652	1544858551689	OK	 
USER	XhinLiang random api	22	END	1544858551651	1544858551691
USER	XhinLiang random api	23	START	1544858552151	1544858552151
REQUEST	23		random	1544858552152	1544858552198	OK	 
USER	XhinLiang random api	23	END	1544858552151	1544858552201
USER	XhinLiang random api	24	START	1544858552650	1544858552650
