RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544856649439	 	3.0.1
USER	Computer Scenario	1	START	1544856651041	1544856651041
USER	Computer Scenario	2	START	1544856651587	1544856651587
REQUEST	1		getComputers	1544856651082	1544856651904	OK	 
REQUEST	2		getComputers	1544856651589	1544856651966	OK	 
USER	Computer Scenario	3	START	1544856652092	1544856652092
REQUEST	2		addNewComputer	1544856652090	1544856652282	OK	 
REQUEST	3		getComputers	1544856652093	1544856652467	OK	 
REQUEST	2		postComputers	1544856652301	1544856652491	OK	 
USER	Computer Scenario	4	START	1544856652587	1544856652587
REQUEST	3		addNewComputer	1544856652481	1544856652667	OK	 
REQUEST	3		postComputers	1544856652670	1544856652864	OK	 
REQUEST	4		getComputers	1544856652589	1544856653054	OK	 
REQUEST	3		postComputers Redirect 1	1544856652865	1544856653057	OK	 
USER	Computer Scenario	3	END	1544856652092	1544856653069
USER	Computer Scenario	5	START	1544856653087	1544856653087
REQUEST	1		addNewComputer	1544856652092	1544856653139	OK	 
REQUEST	1		postComputers	1544856653141	1544856653386	OK	 
REQUEST	5		getComputers	1544856653088	1544856653459	OK	 
USER	Computer Scenario	6	START	1544856653538	1544856653538
REQUEST	4		addNewComputer	1544856653062	1544856653587	OK	 
REQUEST	2		postComputers Redirect 1	1544856652513	1544856653588	OK	 
USER	Computer Scenario	2	END	1544856651587	1544856653590
REQUEST	1		postComputers Redirect 1	1544856653388	1544856653623	OK	 
USER	Computer Scenario	1	END	1544856651041	1544856653625
REQUEST	5		addNewComputer	1544856653471	1544856653658	OK	 
REQUEST	4		postComputers	1544856653590	1544856653827	OK	 
REQUEST	5		postComputers	1544856653660	1544856653850	OK	 
USER	Computer Scenario	7	START	1544856654037	1544856654037
REQUEST	4		postComputers Redirect 1	1544856653829	1544856654068	OK	 
USER	Computer Scenario	4	END	1544856652587	1544856654071
REQUEST	5		postComputers Redirect 1	1544856653852	1544856654232	OK	 
USER	Computer Scenario	5	END	1544856653087	1544856654235
USER	Computer Scenario	8	START	1544856654537	1544856654537
REQUEST	7		getComputers	1544856654039	1544856654966	OK	 
USER	Computer Scenario	9	START	1544856655037	1544856655037
REQUEST	7		addNewComputer	1544856654974	1544856655205	OK	 
REQUEST	6		getComputers	1544856653539	1544856655204	OK	 
REQUEST	7		postComputers	1544856655207	1544856655441	OK	 
USER	Computer Scenario	10	START	1544856655537	1544856655537
REQUEST	9		getComputers	1544856655039	1544856655640	OK	 
REQUEST	7		postComputers Redirect 1	1544856655444	1544856655679	OK	 
USER	Computer Scenario	7	END	1544856654037	1544856655682
REQUEST	10		getComputers	1544856655539	1544856656023	OK	 
USER	Computer Scenario	11	START	1544856656037	1544856656037
REQUEST	9		addNewComputer	1544856655646	1544856656083	OK	 
