RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544861327631	 	3.0.1
USER	XhinLiang random api	1	START	1544861329207	1544861329207
USER	XhinLiang random api	2	START	1544861329298	1544861329298
USER	XhinLiang random api	3	START	1544861329348	1544861329348
USER	XhinLiang random api	4	START	1544861329399	1544861329399
USER	XhinLiang random api	5	START	1544861329449	1544861329449
USER	XhinLiang random api	6	START	1544861329498	1544861329498
USER	XhinLiang random api	7	START	1544861329549	1544861329549
USER	XhinLiang random api	8	START	1544861329599	1544861329599
USER	XhinLiang random api	9	START	1544861329648	1544861329648
USER	XhinLiang random api	10	START	1544861329699	1544861329699
USER	XhinLiang random api	11	START	1544861329748	1544861329748
REQUEST	6		random	1544861329500	1544861329741	OK	 
REQUEST	4		random	1544861329399	1544861329734	OK	 
REQUEST	7		random	1544861329550	1544861329741	OK	 
REQUEST	8		random	1544861329600	1544861329742	OK	 
REQUEST	2		random	1544861329299	1544861329739	OK	 
REQUEST	5		random	1544861329449	1544861329739	OK	 
REQUEST	3		random	1544861329349	1544861329739	OK	 
REQUEST	1		random	1544861329238	1544861329743	OK	 
USER	XhinLiang random api	3	END	1544861329348	1544861329788
USER	XhinLiang random api	2	END	1544861329298	1544861329790
USER	XhinLiang random api	1	END	1544861329207	1544861329790
USER	XhinLiang random api	6	END	1544861329498	1544861329790
USER	XhinLiang random api	8	END	1544861329599	1544861329791
USER	XhinLiang random api	5	END	1544861329449	1544861329796
USER	XhinLiang random api	4	END	1544861329399	1544861329797
USER	XhinLiang random api	7	END	1544861329549	1544861329798
USER	XhinLiang random api	12	START	1544861329799	1544861329799
REQUEST	9		random	1544861329649	1544861329791	OK	 
USER	XhinLiang random api	9	END	1544861329648	1544861329801
REQUEST	10		random	1544861329700	1544861329814	OK	 
USER	XhinLiang random api	10	END	1544861329699	1544861329816
REQUEST	11		random	1544861329750	1544861329831	OK	 
USER	XhinLiang random api	11	END	1544861329748	1544861329833
REQUEST	12		random	1544861329799	1544861329833	OK	 
USER	XhinLiang random api	12	END	1544861329799	1544861329834
USER	XhinLiang random api	13	START	1544861329848	1544861329848
REQUEST	13		random	1544861329849	1544861329882	OK	 
USER	XhinLiang random api	13	END	1544861329848	1544861329885
USER	XhinLiang random api	14	START	1544861329898	1544861329898
REQUEST	14		random	1544861329899	1544861329930	OK	 
USER	XhinLiang random api	14	END	1544861329898	1544861329932
USER	XhinLiang random api	15	START	1544861329959	1544861329959
REQUEST	15		random	1544861329959	1544861329992	OK	 
USER	XhinLiang random api	15	END	1544861329959	1544861329993
USER	XhinLiang random api	16	START	1544861330008	1544861330008
REQUEST	16		random	1544861330009	1544861330041	OK	 
USER	XhinLiang random api	16	END	1544861330008	1544861330042
USER	XhinLiang random api	17	START	1544861330058	1544861330058
REQUEST	17		random	1544861330059	1544861330094	OK	 
USER	XhinLiang random api	17	END	1544861330058	1544861330096
USER	XhinLiang random api	18	START	1544861330109	1544861330109
REQUEST	18		random	1544861330110	1544861330143	OK	 
USER	XhinLiang random api	18	END	1544861330109	1544861330145
USER	XhinLiang random api	19	START	1544861330158	1544861330158
REQUEST	19		random	1544861330159	1544861330193	OK	 
USER	XhinLiang random api	19	END	1544861330158	1544861330194
USER	XhinLiang random api	20	START	1544861330209	1544861330209
REQUEST	20		random	1544861330210	1544861330242	OK	 
USER	XhinLiang random api	20	END	1544861330209	1544861330243
USER	XhinLiang random api	21	START	1544861330259	1544861330259
REQUEST	21		random	1544861330260	1544861330292	OK	 
USER	XhinLiang random api	21	END	1544861330259	1544861330294
USER	XhinLiang random api	22	START	1544861330308	1544861330308
REQUEST	22		random	1544861330309	1544861330340	OK	 
USER	XhinLiang random api	22	END	1544861330308	1544861330341
USER	XhinLiang random api	23	START	1544861330359	1544861330359
REQUEST	23		random	1544861330359	1544861330393	OK	 
USER	XhinLiang random api	23	END	1544861330359	1544861330394
USER	XhinLiang random api	24	START	1544861330408	1544861330408
USER	XhinLiang random api	25	START	1544861330459	1544861330459
REQUEST	24		random	1544861330409	1544861330467	OK	 
USER	XhinLiang random api	24	END	1544861330408	1544861330468
REQUEST	25		random	1544861330459	1544861330492	OK	 
USER	XhinLiang random api	25	END	1544861330459	1544861330493
