RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544859341148	 	3.0.1
USER	XhinLiang random api	1	START	1544859342740	1544859342740
REQUEST	1		random	1544859342772	1544859342789	OK	 
USER	XhinLiang random api	1	END	1544859342740	1544859342825
USER	XhinLiang random api	2	START	1544859342840	1544859342840
REQUEST	2		random	1544859342840	1544859342847	OK	 
USER	XhinLiang random api	2	END	1544859342840	1544859342848
USER	XhinLiang random api	3	START	1544859342889	1544859342889
REQUEST	3		random	1544859342890	1544859342900	OK	 
USER	XhinLiang random api	3	END	1544859342889	1544859342902
USER	XhinLiang random api	4	START	1544859342939	1544859342939
REQUEST	4		random	1544859342940	1544859342953	OK	 
USER	XhinLiang random api	4	END	1544859342939	1544859342960
USER	XhinLiang random api	5	START	1544859342990	1544859342990
REQUEST	5		random	1544859342990	1544859343001	OK	 
USER	XhinLiang random api	5	END	1544859342990	1544859343003
USER	XhinLiang random api	6	START	1544859343039	1544859343039
REQUEST	6		random	1544859343040	1544859343056	OK	 
USER	XhinLiang random api	6	END	1544859343039	1544859343057
USER	XhinLiang random api	7	START	1544859343090	1544859343090
REQUEST	7		random	1544859343091	1544859343110	OK	 
USER	XhinLiang random api	7	END	1544859343090	1544859343111
USER	XhinLiang random api	8	START	1544859343139	1544859343139
REQUEST	8		random	1544859343140	1544859343145	OK	 
USER	XhinLiang random api	8	END	1544859343139	1544859343146
USER	XhinLiang random api	9	START	1544859343189	1544859343189
REQUEST	9		random	1544859343190	1544859343195	OK	 
USER	XhinLiang random api	9	END	1544859343189	1544859343196
USER	XhinLiang random api	10	START	1544859343240	1544859343240
REQUEST	10		random	1544859343241	1544859343246	OK	 
USER	XhinLiang random api	10	END	1544859343240	1544859343248
USER	XhinLiang random api	11	START	1544859343290	1544859343290
REQUEST	11		random	1544859343291	1544859343296	OK	 
USER	XhinLiang random api	11	END	1544859343290	1544859343297
USER	XhinLiang random api	12	START	1544859343339	1544859343339
REQUEST	12		random	1544859343341	1544859343346	OK	 
USER	XhinLiang random api	12	END	1544859343339	1544859343347
USER	XhinLiang random api	13	START	1544859343389	1544859343389
REQUEST	13		random	1544859343391	1544859343400	OK	 
USER	XhinLiang random api	13	END	1544859343389	1544859343402
USER	XhinLiang random api	14	START	1544859343440	1544859343440
REQUEST	14		random	1544859343441	1544859343446	OK	 
