RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544858686669	 	3.0.1
USER	XhinLiang random api	1	START	1544858688321	1544858688321
USER	XhinLiang random api	2	START	1544858688360	1544858688360
USER	XhinLiang random api	3	START	1544858688364	1544858688364
USER	XhinLiang random api	4	START	1544858688365	1544858688365
USER	XhinLiang random api	5	START	1544858688366	1544858688366
USER	XhinLiang random api	6	START	1544858688393	1544858688393
USER	XhinLiang random api	7	START	1544858688394	1544858688394
USER	XhinLiang random api	9	START	1544858688405	1544858688405
USER	XhinLiang random api	8	START	1544858688403	1544858688403
USER	XhinLiang random api	10	START	1544858688413	1544858688413
USER	XhinLiang random api	11	START	1544858688413	1544858688413
USER	XhinLiang random api	12	START	1544858688423	1544858688423
USER	XhinLiang random api	13	START	1544858688423	1544858688423
USER	XhinLiang random api	15	START	1544858688436	1544858688436
USER	XhinLiang random api	14	START	1544858688436	1544858688436
USER	XhinLiang random api	16	START	1544858688443	1544858688443
USER	XhinLiang random api	17	START	1544858688443	1544858688443
USER	XhinLiang random api	18	START	1544858688453	1544858688453
USER	XhinLiang random api	19	START	1544858688454	1544858688454
USER	XhinLiang random api	20	START	1544858688463	1544858688463
USER	XhinLiang random api	21	START	1544858688463	1544858688463
USER	XhinLiang random api	22	START	1544858688472	1544858688472
USER	XhinLiang random api	23	START	1544858688473	1544858688473
USER	XhinLiang random api	24	START	1544858688482	1544858688482
USER	XhinLiang random api	25	START	1544858688483	1544858688483
REQUEST	2		random	1544858688361	1544858688441	OK	 
USER	XhinLiang random api	27	START	1544858688493	1544858688493
USER	XhinLiang random api	26	START	1544858688493	1544858688493
REQUEST	4		random	1544858688366	1544858688470	OK	 
REQUEST	5		random	1544858688367	1544858688484	OK	 
USER	XhinLiang random api	2	END	1544858688360	1544858688495
USER	XhinLiang random api	5	END	1544858688366	1544858688496
USER	XhinLiang random api	4	END	1544858688365	1544858688500
USER	XhinLiang random api	28	START	1544858688503	1544858688503
USER	XhinLiang random api	29	START	1544858688503	1544858688503
REQUEST	1		random	1544858688355	1544858688508	OK	 
USER	XhinLiang random api	1	END	1544858688321	1544858688509
USER	XhinLiang random api	30	START	1544858688513	1544858688513
USER	XhinLiang random api	31	START	1544858688514	1544858688514
REQUEST	3		random	1544858688365	1544858688519	OK	 
USER	XhinLiang random api	3	END	1544858688364	1544858688521
USER	XhinLiang random api	33	START	1544858688523	1544858688523
USER	XhinLiang random api	32	START	1544858688523	1544858688523
USER	XhinLiang random api	35	START	1544858688532	1544858688532
USER	XhinLiang random api	34	START	1544858688533	1544858688533
USER	XhinLiang random api	37	START	1544858688543	1544858688543
USER	XhinLiang random api	36	START	1544858688546	1544858688546
USER	XhinLiang random api	39	START	1544858688552	1544858688552
USER	XhinLiang random api	38	START	1544858688552	1544858688552
USER	XhinLiang random api	40	START	1544858688563	1544858688563
USER	XhinLiang random api	41	START	1544858688573	1544858688573
USER	XhinLiang random api	42	START	1544858688583	1544858688583
USER	XhinLiang random api	43	START	1544858688583	1544858688583
USER	XhinLiang random api	44	START	1544858688593	1544858688593
USER	XhinLiang random api	45	START	1544858688593	1544858688593
USER	XhinLiang random api	47	START	1544858688602	1544858688602
USER	XhinLiang random api	46	START	1544858688602	1544858688602
USER	XhinLiang random api	49	START	1544858688612	1544858688612
USER	XhinLiang random api	48	START	1544858688612	1544858688612
USER	XhinLiang random api	51	START	1544858688623	1544858688623
USER	XhinLiang random api	50	START	1544858688623	1544858688623
USER	XhinLiang random api	53	START	1544858688633	1544858688633
USER	XhinLiang random api	52	START	1544858688633	1544858688633
USER	XhinLiang random api	54	START	1544858688643	1544858688643
USER	XhinLiang random api	55	START	1544858688643	1544858688643
USER	XhinLiang random api	56	START	1544858688653	1544858688653
USER	XhinLiang random api	57	START	1544858688653	1544858688653
USER	XhinLiang random api	59	START	1544858688662	1544858688662
USER	XhinLiang random api	58	START	1544858688662	1544858688662
USER	XhinLiang random api	60	START	1544858688672	1544858688672
USER	XhinLiang random api	61	START	1544858688672	1544858688672
USER	XhinLiang random api	63	START	1544858688683	1544858688683
USER	XhinLiang random api	62	START	1544858688683	1544858688683
USER	XhinLiang random api	65	START	1544858688693	1544858688693
USER	XhinLiang random api	64	START	1544858688693	1544858688693
REQUEST	6		random	1544858688394	1544858688700	OK	 
