RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544859874352	 	3.0.1
USER	XhinLiang random api	101	START	1544859876242	1544859876242
USER	XhinLiang random api	102	START	1544859876242	1544859876242
REQUEST	29		random	1544859876165	1544859876222	OK	 
REQUEST	18		random	1544859876103	1544859876219	OK	 
USER	XhinLiang random api	68	START	1544859876215	1544859876215
REQUEST	19		random	1544859876138	1544859876219	OK	 
REQUEST	28		random	1544859876159	1544859876214	OK	 
REQUEST	39		random	1544859876185	1544859876246	OK	 
USER	XhinLiang random api	70	START	1544859876215	1544859876215
USER	XhinLiang random api	103	START	1544859876242	1544859876242
USER	XhinLiang random api	99	START	1544859876242	1544859876242
REQUEST	27		random	1544859876158	1544859876246	OK	 
USER	XhinLiang random api	106	START	1544859876243	1544859876243
REQUEST	26		random	1544859876155	1544859876246	OK	 
USER	XhinLiang random api	111	START	1544859876252	1544859876252
USER	XhinLiang random api	110	START	1544859876252	1544859876252
USER	XhinLiang random api	113	START	1544859876254	1544859876254
USER	XhinLiang random api	115	START	1544859876259	1544859876259
USER	XhinLiang random api	116	START	1544859876260	1544859876260
USER	XhinLiang random api	117	START	1544859876260	1544859876260
USER	XhinLiang random api	118	START	1544859876261	1544859876261
USER	XhinLiang random api	119	START	1544859876263	1544859876263
USER	XhinLiang random api	108	START	1544859876245	1544859876245
USER	XhinLiang random api	121	START	1544859876265	1544859876265
USER	XhinLiang random api	104	START	1544859876242	1544859876242
USER	XhinLiang random api	124	START	1544859876266	1544859876266
USER	XhinLiang random api	125	START	1544859876266	1544859876266
USER	XhinLiang random api	123	START	1544859876265	1544859876265
USER	XhinLiang random api	126	START	1544859876267	1544859876267
USER	XhinLiang random api	127	START	1544859876267	1544859876267
USER	XhinLiang random api	114	START	1544859876258	1544859876258
USER	XhinLiang random api	107	START	1544859876245	1544859876245
USER	XhinLiang random api	105	START	1544859876243	1544859876243
REQUEST	24		random	1544859876149	1544859876272	OK	 
USER	XhinLiang random api	130	START	1544859876272	1544859876272
USER	XhinLiang random api	112	START	1544859876252	1544859876252
USER	XhinLiang random api	132	START	1544859876273	1544859876273
USER	XhinLiang random api	131	START	1544859876273	1544859876273
USER	XhinLiang random api	134	START	1544859876274	1544859876274
REQUEST	36		random	1544859876182	1544859876275	OK	 
USER	XhinLiang random api	120	START	1544859876264	1544859876264
REQUEST	47		random	1544859876190	1544859876278	OK	 
REQUEST	17		random	1544859876103	1544859876279	OK	 
USER	XhinLiang random api	136	START	1544859876277	1544859876277
USER	XhinLiang random api	135	START	1544859876277	1544859876277
USER	XhinLiang random api	133	START	1544859876273	1544859876273
USER	XhinLiang random api	137	START	1544859876277	1544859876277
USER	XhinLiang random api	129	START	1544859876272	1544859876272
USER	XhinLiang random api	141	START	1544859876281	1544859876281
USER	XhinLiang random api	140	START	1544859876281	1544859876281
USER	XhinLiang random api	139	START	1544859876281	1544859876281
USER	XhinLiang random api	144	START	1544859876282	1544859876282
USER	XhinLiang random api	138	START	1544859876280	1544859876280
USER	XhinLiang random api	142	START	1544859876281	1544859876281
USER	XhinLiang random api	122	START	1544859876265	1544859876265
USER	XhinLiang random api	56	START	1544859876197	1544859876197
USER	XhinLiang random api	146	START	1544859876289	1544859876289
USER	XhinLiang random api	145	START	1544859876289	1544859876289
USER	XhinLiang random api	109	START	1544859876250	1544859876250
USER	XhinLiang random api	143	START	1544859876282	1544859876282
REQUEST	23		random	1544859876197	1544859876285	OK	 
REQUEST	55		random	1544859876198	1544859876295	OK	 
USER	XhinLiang random api	128	START	1544859876267	1544859876267
