RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544861175220	 	3.0.1
USER	XhinLiang random api	1	START	1544861176807	1544861176807
USER	XhinLiang random api	2	START	1544861176897	1544861176897
USER	XhinLiang random api	3	START	1544861176946	1544861176946
USER	XhinLiang random api	4	START	1544861176997	1544861176997
USER	XhinLiang random api	5	START	1544861177046	1544861177046
REQUEST	2		random	1544861176898	1544861177034	OK	 
REQUEST	1		random	1544861176839	1544861177028	OK	 
REQUEST	4		random	1544861176997	1544861177035	OK	 
REQUEST	3		random	1544861176947	1544861177035	OK	 
USER	XhinLiang random api	1	END	1544861176807	1544861177067
USER	XhinLiang random api	3	END	1544861176946	1544861177068
USER	XhinLiang random api	4	END	1544861176997	1544861177072
USER	XhinLiang random api	2	END	1544861176897	1544861177072
REQUEST	5		random	1544861177047	1544861177099	OK	 
USER	XhinLiang random api	5	END	1544861177046	1544861177100
USER	XhinLiang random api	6	START	1544861177107	1544861177107
USER	XhinLiang random api	7	START	1544861177157	1544861177157
REQUEST	6		random	1544861177108	1544861177177	OK	 
USER	XhinLiang random api	6	END	1544861177107	1544861177178
REQUEST	7		random	1544861177158	1544861177194	OK	 
USER	XhinLiang random api	7	END	1544861177157	1544861177196
USER	XhinLiang random api	8	START	1544861177206	1544861177206
REQUEST	8		random	1544861177207	1544861177244	OK	 
USER	XhinLiang random api	8	END	1544861177206	1544861177245
USER	XhinLiang random api	9	START	1544861177257	1544861177257
REQUEST	9		random	1544861177258	1544861177303	OK	 
USER	XhinLiang random api	9	END	1544861177257	1544861177305
USER	XhinLiang random api	10	START	1544861177306	1544861177306
USER	XhinLiang random api	11	START	1544861177357	1544861177357
REQUEST	10		random	1544861177307	1544861177362	OK	 
USER	XhinLiang random api	10	END	1544861177306	1544861177363
REQUEST	11		random	1544861177358	1544861177396	OK	 
USER	XhinLiang random api	11	END	1544861177357	1544861177398
USER	XhinLiang random api	12	START	1544861177407	1544861177407
REQUEST	12		random	1544861177408	1544861177445	OK	 
USER	XhinLiang random api	12	END	1544861177407	1544861177446
USER	XhinLiang random api	13	START	1544861177456	1544861177456
REQUEST	13		random	1544861177457	1544861177505	OK	 
USER	XhinLiang random api	14	START	1544861177507	1544861177507
USER	XhinLiang random api	13	END	1544861177456	1544861177506
REQUEST	14		random	1544861177508	1544861177550	OK	 
USER	XhinLiang random api	14	END	1544861177507	1544861177551
USER	XhinLiang random api	15	START	1544861177556	1544861177556
REQUEST	15		random	1544861177557	1544861177598	OK	 
USER	XhinLiang random api	15	END	1544861177556	1544861177599
USER	XhinLiang random api	16	START	1544861177607	1544861177607
REQUEST	16		random	1544861177608	1544861177648	OK	 
USER	XhinLiang random api	16	END	1544861177607	1544861177649
USER	XhinLiang random api	17	START	1544861177657	1544861177657
REQUEST	17		random	1544861177658	1544861177698	OK	 
